,shortName,playerName,team,position,speedMPH,yards,playType,touchdown,penalty,season,seasonType,week,gameId,playId,desc
306,D.Byrd,Damiere Byrd,CAR,WR,20.09,103,kickoff ret,1,0,2017,REG,16,2017122400,,"Q2 P.Murray kicks 68 yards from TB 35 to CAR -3. D.Byrd for 103 yards, TOUCHDOWN."
307,C.Newton,Cam Newton,CAR,QB,19.82,17,rush,0,0,2017,REG,16,2017122400,,Q3 (6:59) T.Moton reported in as eligible.  C.Newton left end ran ob at TB 20 for 17 yards (C.Conte).
308,J.Grant,Jakeem Grant,MIA,WR,19.78,65,reception,1,0,2017,REG,16,2017122403,,"Q2 (3:34) (Shotgun) J.Cutler pass short left to J.Grant for 65 yards, TOUCHDOWN."
309,D.Jones,Deion Jones,ATL,MLB,19.76,41,int,0,0,2017,REG,16,2017122405,,Q3 (14:24) (Shotgun) D.Brees pass short middle intended for T.Ginn INTERCEPTED by D.Jones at NO 43. D.Jones to NO 2 for 41 yards (B.Coleman).
310,J.Jones,Julio Jones,ATL,WR,19.68,9,reception,0,0,2017,REG,16,2017122405,,"Q1 (15:00) M.Ryan pass short right to Ju.Jones pushed ob at ATL 34 for 9 yards (M.Williams). Pass 7, YAC 2"
311,M.Ingram,Mark Ingram,NO,RB,19.62,26,rush,1,0,2017,REG,16,2017122405,,"Q3 (2:59) (Shotgun) M.Ingram left guard for 26 yards, TOUCHDOWN."
312,J.Malone,Josh Malone,CIN,WR,19.55,-2,rush,0,0,2017,REG,16,2017122402,,Q3 (9:26) J.Malone left end ran ob at CIN 23 for -2 yards (T.Whitehead).
313,V.Davis,Vernon Davis,WAS,TE,19.51,31,reception,1,0,2017,REG,16,2017122408,,"Q4 (4:29) K.Cousins pass deep left to V.Davis for 31 yards, TOUCHDOWN [S.Barrett]."
314,A.Blue,Alfred Blue,HOU,RB,19.45,48,rush,0,0,2017,REG,16,2017122500,,Q2 (14:52) A.Blue right guard pushed ob at PIT 18 for 48 yards (J.Haden).
315,D.Freeman,Devonta Freeman,ATL,RB,19.41,4,rush,0,1,2017,REG,16,2017122405,,"Q1 (13:57) D.Freeman left end ran ob at NO 38 for 26 yards (C.Robertson). PENALTY on ATL-J.Matthews, Offensive Holding, 10 yards, enforced at ATL 40."
316,C.Godwin,Chris Godwin,TB,WR,19.35,70,reception,0,0,2017,REG,16,2017122400,,Q2 (4:40) (Shotgun) J.Winston pass short right to C.Godwin to CAR 11 for 70 yards (L.Kuechly).
317,M.Bryant,Martavis Bryant,PIT,WR,19.35,8,rush,0,0,2017,REG,16,2017122500,,Q3 (5:10) M.Bryant right end pushed ob at HOU 36 for 8 yards (C.Moore).
318,G.Bernard,Giovani Bernard,CIN,RB,19.31,25,rush,0,0,2017,REG,16,2017122402,,Q2 (12:23) (Shotgun) G.Bernard left end pushed ob at CIN 46 for 25 yards (G.Quin).
319,E.Rogers,Eli Rogers,PIT,WR,19.25,27,punt ret,0,0,2017,REG,16,2017122500,,"Q3 (5:58) S.Lechler punts 52 yards to PIT 31, Center-J.Weeks. E.Rogers pushed ob at HOU 42 for 27 yards (C.Moore)."
320,M.Jones,Marvin Jones,DET,WR,20.64,56,reception,0,0,2017,REG,17,2017123102,,nan
321,K.Drake,Kenyan Drake,MIA,RB,20.58,32,rush,0,0,2017,REG,17,2017123104,,nan
322,T.Lockett,Tyler Lockett,SEA,WR,20.39,99,kickoff ret,1,0,2017,REG,17,2017123115,,nan
323,A.Kamara,Alvin Kamara,NO,RB,20.23,106,kickoff ret,1,0,2017,REG,17,2017123110,,nan
324,A.Cooper,Amari Cooper,OAK,WR,20.21,87,reception,1,0,2017,REG,17,2017123113,,nan
325,T.Benjamin,Travis Benjamin,LAC,WR,20.13,62,reception,1,0,2017,REG,17,2017123113,,nan
326,M.Thomas,Mike Thomas,LA,WR,19.96,50,reception,0,0,2017,REG,17,2017123114,,nan
327,M.Goodwin,Marquise Goodwin,SF,WR,19.96,10,rush,0,0,2017,REG,17,2017123114,,nan
328,A.Stewart,ArDarius Stewart,NYJ,WR,19.92,46,reception,0,0,2017,REG,17,2017123106,,nan
329,T.Davis,Trevor Davis,GB,WR,19.9,28,punt ret,0,0,2017,REG,17,2017123102,,nan
330,T.Rudolph,Travis Rudolph,NYG,WR,19.88,29,reception,0,0,2017,REG,17,2017123107,,nan
331,D.Henry,Derrick Henry,TEN,RB,19.88,66,reception,1,0,2017,REG,17,2017123111,,nan
332,T.Benjamin,Travis Benjamin,LAC,WR,19.82,21,reception,0,0,2017,REG,17,2017123113,,nan
333,R.Higgins,Rashard Higgins,CLE,WR,19.76,56,reception,1,0,2017,REG,17,2017123109,,nan
334,T.Mitchell,Terrance Mitchell,KC,CB,19.7,40,int,0,0,2017,REG,17,2017123112,,nan
335,C.Hyde,Carlos Hyde,SF,RB,19.7,16,rush,0,0,2017,REG,17,2017123114,,nan
336,C.Moore,Chris Moore,BAL,WR,19.64,87,kickoff ret,0,0,2017,REG,17,2017123101,,nan
337,C.Thompson,Chris Thompson,HOU,WR,19.62,28,kickoff ret,0,0,2017,REG,17,2017123103,,nan
338,K.Golladay,Kenny Golladay,DET,WR,19.6,54,reception,1,0,2017,REG,17,2017123102,,nan
339,J.Gordon,Josh Gordon,CLE,WR,19.53,54,reception,0,0,2017,REG,17,2017123109,,nan
